pathway	pval	padj	log2err	ES	NES	size	leadingEdge	adjPvalue
HALLMARK_KRAS_SIGNALING_DN	1	1	0.0380056241581377	-0.120318506465207	-0.528079419693266	91	RSAD2 KRT1 BARD1 IFNG C5 SERPINB2 SKIL COPZ2 SLC25A23 KLHDC8A PDE6B MX1 CCR8 PDK2 TFCP2L1 ASB7 CAMK1D CELSR2 BTG2 FGGY KRT5 SLC29A3 NUDT11 IFI44L TCF7L1 YPEL1 MEFV CHST2 MAST3 GTF3C5 SLC12A3 PDCD1	non-significant
HALLMARK_ANGIOGENESIS	0.990892531876139	1	0.0418238690062304	-0.169048876580153	-0.55425201273102	25	S100A4 OLR1 VEGFA	non-significant
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.98886827458256	1	0.0427591434738678	-0.160011505381511	-0.582038946634723	38	HDAC11 NCSTN NCOR2 HEY2 GNAI1 PTCH1 FZD1 TP53 FZD8 CUL1 CCND2 NUMB TCF7 MYC FRAT1 WNT5B NKD1 AXIN1 JAG1	non-significant
HALLMARK_UV_RESPONSE_DN	0.998355263157895	1	0.0367619553883609	-0.133931793251932	-0.620617996906135	123	CDC42BPA NIPBL PTEN AGGF1 DYRK1A SLC7A1 CITED2 NEK7 DUSP1 RXRA SCAF8 TGFBR3 BHLHE40 FBLN5 CDKN1B ID1 ANXA2 ATP2B4 APBB2 NR1D2 NR3C1 PIK3R3 SPOP	non-significant
HALLMARK_MYOGENESIS	0.728758169934641	0.792128445581131	0.0509082865515105	-0.185834043263099	-0.876337710595562	138	RB1 GABARAPL2 AK1 FOXO4 PRNP HBEGF MYL4 FKBP1B SH3BGR KCNH2 SLC6A8 FDPS MYOM2 SORBS1 NQO1 ACHE IGFBP3 BAG1 ATP6AP1 BHLHE40 CRAT CD36 MYLPF DES SIRT2 IGFBP7 LDB3 OCEL1 TPM3 ADCY9 AKT2 CTF1 LSP1 GADD45B GPX3 CHRNB1 SCD SYNGR2 KLF5 COL4A2	non-significant
HALLMARK_BILE_ACID_METABOLISM	0.683304647160069	0.75922738573341	0.0562940749700968	-0.204226181939475	-0.877666430102576	83	HSD17B11 PRDX5 SOD1 OPTN PHYH CAT ALDH1A1 GCLM PNPLA8 RXRA ISOC1 KLF1 SCP2 GNPAT IDH2 ALDH9A1 RETSAT LCK AQP9	non-significant
HALLMARK_APICAL_JUNCTION	0.544117647058824	0.61831550802139	0.0646484568421928	-0.201841142605613	-0.958082311656777	147	CDK8 CDH1 PTEN GTF2F1 ACTN4 RAC2 CTNNA1 KCNH2 MYH10 MYL12B MSN CD34 TGFBI LAMB3 PCDH1 CNN2 CAP1 PFN1 ATP1A3 SHC1 CRAT B4GALT1 MPZL1 TUBG1 CD86 PIK3R3 ARHGEF6 PTPRC GNAI2 LIMA1 NF2 PARVA MAPK13 GNAI1 AKT2 PECAM1 ALOX15B SYK ICAM1 CRB3 TIAL1	non-significant
HALLMARK_COAGULATION	0.465686274509804	0.545058139534884	0.0723570851036907	-0.223335303674379	-0.988511898876614	94	LAMP2 ARF4 CTSE ISCU FN1 CTSB PEF1 FURIN CAPN5 OLR1 SERPINB2 PRSS23 ANG C2 PLAU GNB2 CTSH SIRT2 HTRA1 SERPINA1 PLEK CASP9 PECAM1 CPQ F3 LRP1 ANXA1 C3 SERPING1 CTSO	non-significant
HALLMARK_HEDGEHOG_SIGNALING	0.46875	0.545058139534884	0.0780892306943345	-0.296115993466311	-0.99135927443765	27	VEGFA ACHE DPYSL2 HEY2 AMOT PTCH1 TLE1 VLDLR NRCAM CDK5R1 SLIT1 CELSR1 ETS2	non-significant
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.415435139573071	0.50662821899155	0.0785029047348687	-0.214999081399654	-1.01390718627103	139	ID2 FN1 CXCL8 CD59 JUN TGFBI COPA LGALS1 SLC6A8 CD44 VEGFA PPIB GPX7 IL32 PLOD1 VIM IGFBP3 TGM2 TGFBR3 EMP3 CAPG GADD45A FBLN5 INHBA COL4A1 MAGEE1 HTRA1 EDIL3 FBN2 FUCA1 PTX3 FERMT2 RHOB SERPINE2 CADM1 TNFAIP3 GADD45B TNFRSF12A LRP1 CXCL6 ACTA2 COL4A2 PMP22 PLOD3 CALU ANPEP CXCL1 FZD8 PDGFRB GEM COL8A2 NT5E SPOCK1 FBLN2	non-significant
