pathway	pval	padj	log2err	ES	NES	size	leadingEdge	adjPvalue
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.0536609207202421	0.0958230727147181	0.321775918075361	0.357747809364259	1.39678063745062	38	PPARD MAML1 NKD1 CSNK1E JAG2 DVL2 KAT2A	significant
HALLMARK_HEDGEHOG_SIGNALING	0.605970149253731	0.673300165837479	0.0905428948469474	0.254833835198999	0.906281669592946	27	CELSR1 GLI1 PML LDB1 NRCAM	non-significant
HALLMARK_MYC_TARGETS_V2	0.878676470588235	0.915287990196079	0.0815265143256594	0.181127323853686	0.769673637082747	57	SLC29A2 LAS1L SUPV3L1 PUS1 MCM5 PPAN NOP56 PPRC1 TCOF1 GNL3 DDX18 PLK1 GRWD1 IMP4 MYBBP1A SLC19A1 TBRG4 NOP2 PRMT3	non-significant
HALLMARK_BILE_ACID_METABOLISM	0.958656330749354	0.958656330749354	0.0269562963008324	-0.177042763445492	-0.692656582587966	83	KLF1 BMP6 OPTN GCLM PRDX5 NEDD4 CAT	non-significant
HALLMARK_KRAS_SIGNALING_DN	0.927536231884058	0.946465542738835	0.0296354881939192	-0.185505638249487	-0.73176715917411	91	EGF BARD1 THRB KLHDC8A SNN C5 PDK2 RYR2 KRT1	non-significant
HALLMARK_PEROXISOME	0.841269841269841	0.894967916244512	0.034566432206351	-0.201469396850861	-0.793670241216371	89	TOP2A FIS1 YWHAH PRDX5 CAT IDE CDK7 PRDX1 MSH2 SMARCC1 TSPO CNBP SOD1 RDH11 CRAT ECH1 SCP2 IDH2 PABPC1 SOD2 EHHADH HSD17B11 ISOC1 GSTK1 HSD3B7 DHRS3 DHCR24 CLN6	non-significant
HALLMARK_NOTCH_SIGNALING	0.715568862275449	0.777792241603749	0.0477342401407188	-0.267260658161807	-0.844628266644745	29	FZD5 RBX1 SKP1	non-significant
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.549492385786802	0.625533504054631	0.0522693317499306	-0.237013812404634	-0.951584244569728	103	WIPI1 LSM1 PARN DNAJA4 CNOT6 RPS14 SLC7A5 DCP2 YWHAZ EIF4G1 EEF2 KIF5B XPOT CALR MTHFD2 PAIP1 EIF2S1 SERP1 ATF6 NFYB DNAJB9 EXOSC4 XBP1 YIF1A SLC30A5 BANF1 CEBPB ATF3 HYOU1 LSM4 NOP14 NPM1 EIF4E EXOSC5 TUBB2A HSPA5 SDAD1 NOLC1 HSP90B1 ATF4 NHP2 EIF4A3	non-significant
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.550469483568075	0.625533504054631	0.0486034247259069	-0.223234220103993	-0.962158113898924	193	ARL4A SELP BPGM MT2A PIM1 IFI27 B2M PNP CMPK2 SERPING1 ISG15 GZMA CCL5 IRF2 PNPT1 IL15RA XCL1 GBP6 RSAD2 PSME1 MTHFD2 UBE2L6 SRI CDKN1A GBP4 BST2 JAK2 IL2RB NFKBIA PSMB10 PSMB8 LY6E BATF2 SOD2 CXCL9 VAMP5 VAMP8 VCAM1 SLAMF7 CXCL11 CMKLR1 PLA2G4A IDO1 HLA-A FAS GCH1 STAT1 ZNFX1 CASP3 LGALS3BP RIPK2 IFITM2 HLA-B SOCS3 TXNIP IFIH1 CXCL10 ISOC1 APOL6 SAMHD1 SECTM1 PSME2 USP18 FCGR1A ICAM1 IL7 IFI35 OAS2 GPR18 LAP3 SOCS1 P2RY14	non-significant
HALLMARK_GLYCOLYSIS	0.446280991735537	0.531286894923259	0.0585937568945671	-0.235617290611042	-1.00775221667764	171	HMMR AURKA KIF2A DEPDC1 CAPN5 EGLN3 MXI1 GCLC TALDO1 LHPP HDLBP TXN NDST3 CITED2 PKP2 PLOD2 UGP2 GLCE CTH G6PD ME1 CDK1 IGFBP3 SOD1 SAP30 ABCB6 MDH2 CYB5A PC SRD5A3 NT5E TPI1 PYGB CHST2 PKM DSC2 DPYSL4 PFKFB1 CASP6 ALDOA MIF NDUFV3 EFNA3 PYGL ME2 CLN6 PGAM1 B3GALT6 ENO1 ALDH9A1 CD44 NSDHL HSPA5 GNPDA1 PDK3	non-significant
