pathway	pval	padj	log2err	ES	NES	size	leadingEdge	adjPvalue
HALLMARK_BILE_ACID_METABOLISM	0.887434554973822	0.924410994764398	0.0637845390312975	0.165120127152538	0.794802751177118	83	PEX1 LONP2 ABCA5 MLYCD CROT EPHX2 EFHC1 ABCA2 HACL1 GSTK1 NR3C2 NPC1 PFKM PECR SLC23A2 ABCD2	non-significant
HALLMARK_KRAS_SIGNALING_DN	0.915068493150685	0.933743360357842	0.0645031249656493	0.159248699999659	0.770331589881552	91	MSH5 TGM1 SIDT1 IDUA SPHK2 DTNB STAG3 CCDC106 MFSD6 TAS2R4 P2RY4 CPEB3 SLC5A5 CELSR2 CACNA1F CDKAL1 PDCD1 TCF7L1 TGFB2 MTHFR LFNG MYO15A TFCP2L1 TEX15 GAMT ITGB1BP2 UPK3B RYR1 EDN1 EDAR SPTBN2 RYR2	non-significant
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1	1	0.0547939500773363	0.12175438457073	0.481733655196273	37	KAT2A AXIN1 SKP2	non-significant
HALLMARK_UV_RESPONSE_DN	0.821100917431193	0.873511614288503	0.0424170054438747	-0.175232196194946	-0.831487153276012	123	KIT PTEN DUSP1 NR3C1 ZMIZ1 CDKN1B CITED2 SDC2 ANXA2 DLC1 BHLHE40 NR1D2 SRI MT1E NIPBL TGFBR2 RXRA CDC42BPA PPARG PTGFR FZD2 ID1 ADD3 NFKB1 FBLN5 NEK7 DYRK1A NOTCH2 IGFBP5 INSIG1 MYC F3 TJP1 ADORA2B NRP1 SMAD7 VLDLR PRDM2 CACNA1A LDLR ITGB3 IGF1R SCAF8 SLC7A1 VAV2	non-significant
HALLMARK_MYOGENESIS	0.430513595166163	0.467949559963221	0.0723570851036907	-0.209514699757778	-1.01475422906161	136	PRNP SYNGR2 LSP1 TPM3 KLF5 IGFBP7 RIT1 SCD ATP6AP1 BHLHE40 GADD45B RB1 NQO1 DMD ACSL1 MYH9 MYOM2 CRAT SIRT2 HBEGF GAA CNN3 MYL6B TGFB1 KCNH2 PKIA REEP1 MEF2D MEF2C CFD MYL4 SH3BGR FKBP1B FOXO4 GSN IGFBP3 ERBB3 APP GABARAPL2 SORBS1	non-significant
HALLMARK_SPERMATOGENESIS	0.365573770491803	0.406193078324226	0.0852884689790502	-0.240482881373534	-1.05702810228375	78	PEBP1 PRKAR2A KIF2C TKTL1 GMCL1 CSNK2A2 NEK2 BUB1 TSN ARL4A CCNB2 TALDO1 TLE4 RFC4 MLF1 DMC1 HSPA2 CLPB SIRT1 IL12RB2 AURKA CLGN NF2 DBF4 MAP7 BRAF HSPA1L NCAPH TTK CRISP2	non-significant
HALLMARK_HEDGEHOG_SIGNALING	0.339070567986231	0.385307463620717	0.0922597260527354	-0.312948599222863	-1.08348394136822	27	DPYSL2 TLE1 ETS2 MYH9 HEY2 TLE3 NRP1 VLDLR VEGFA AMOT HEY1 SLIT1	non-significant
HALLMARK_MYC_TARGETS_V2	0.285714285714286	0.332225913621262	0.100990587455923	-0.269031752481596	-1.11448091352956	57	TFB2M NPM1 HSPE1 MCM4 CBX3 NOLC1 SRM NIP7 RCL1 NDUFAF4 TMEM97 IPO4 HK2 PLK4 PA2G4 DUSP2 CDK4 MYC BYSL WDR43 HSPD1 DCTPP1 MRTO4 SORD WDR74 RRP9 AIMP2	non-significant
HALLMARK_MITOTIC_SPINDLE	0.183673469387755	0.21865889212828	0.120433371642259	-0.225421478826017	-1.1494080696624	196	ARF6 MAPRE1 CDC42 ACTN4 CAPZB EZR MAP1S MARCKS HOOK3 KIF2C KIF23 ARHGDIA BCL2L11 KIF4A ARL8A RFC1 LMNB1 KIF5B NEK2 ABI1 BUB1 SMC3 DYNLL2 MYH10 CD2AP PPP4R2 CDC42EP4 KIF15 MYH9 NDC80 CCNB2 EPB41 CDC42BPA FBXO5 PCGF5 RANBP9 KIF11 UXT NET1 WASF2 MID1IP1 YWHAE DOCK4 CDC27 CDC42EP1 PRC1 TLK1 KATNA1 TPX2 AURKA GSN TOP2A ARHGEF12 NUSAP1 NOTCH2 ECT2 FLNA STAU1 INCENP ANLN SSH2 SMC4 CENPE PALLD BRCA2 KIF20B RALBP1 DLGAP5 SASS6 KIF3B	non-significant
HALLMARK_PEROXISOME	0.0709677419354839	0.0909842845326716	0.213927855492356	-0.289288889403182	-1.29715130804771	89	CNBP CDK7 PRDX1 HSD17B11 BCL10 PABPC1 ALDH1A1 TSPO SOD2 ECH1 SLC27A2 VPS4B ELOVL5 IDI1 CAT SOD1 ACSL4 ACSL1 IDH2 CRABP2 FIS1 CRAT NUDT19 SMARCC1	significant
