pathway	pval	padj	log2err	ES	NES	size	leadingEdge	adjPvalue
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.05412280192752e-12	2.63530700481879e-11	0.910119734774459	0.474309002145975	2.45878517782135	159	IRF1 TXNIP SP110 NMI EIF2AK2 ADAR EIF4E3 CASP4 IFITM2 MX2 FPR1 PLSCR1 IRF9 CSF2RB STAT3 LY6E SLC25A28 HLA-B XAF1 IRF5 MYD88 PSMA2 ISG20 HLA-A PELI1 ST8SIA4 IFNAR2 IL4R LAP3 UPP1 IFIT1 IFIT3 IFITM3 PSMB10 LCP2 OAS3 IFIT2 NAMPT LATS2 FGL2 MX1 BTG1 TAPBP PTPN6 PSMB8 SECTM1 IRF7 LGALS3BP ZBP1 CD86 TRIM25 EPSTI1 TAP1 RNF213 IFI30 HLA-DRB1 HELZ2 BST2 OGFR PML TNFAIP2 CD74 TOR1B CASP1 HERC6 TNFSF10 FCGR1A VAMP8 SOD2 RBCK1 PSME2 RIPK2 PTGS2 PSMB9 NFKB1 PDE4B DDX58 IRF8 TRAFD1 HLA-DMA OAS2 TNFAIP3 TDRD7 NFKBIA FAS PARP14 MVP CD69 PSME1 CASP8 ITGB7 DDX60 ZNFX1 SPPL2A CD38 NCOA3 HIF1A UBE2L6 PARP12 TRIM21 SAMHD1	significant
HALLMARK_INTERFERON_ALPHA_RESPONSE	4.95232031883898e-09	6.19040039854872e-08	0.761460801445585	0.525198008553683	2.41226451272924	78	IRF1 TXNIP SP110 NMI EIF2AK2 ADAR IFITM2 SELL IFITM1 PLSCR1 IRF9 LY6E HLA-C SLC25A28 GBP2 ISG20 IL4R LAP3 IFIT3 IFITM3 IFIT2 PARP9 MX1 PSMB8 IRF7 LGALS3BP TRIM25 EPSTI1 TAP1 IFI30 HELZ2 BST2 OGFR CD74 CASP1 HERC6 CNP OAS1 PSME2 ELF1 RIPK2 PSMB9 TRAFD1 TDRD7 PARP14 TRIM5 PSME1 CASP8	significant
HALLMARK_INFLAMMATORY_RESPONSE	1.9859435316453e-09	3.30990588607551e-08	0.774939030136436	0.481132418748933	2.37231338744169	112	IRF1 SLC31A2 AQP9 ITGA5 ABCA1 NMI EIF2AK2 MXD1 PSEN1 TLR2 IFNAR1 RAF1 SELL IFITM1 FPR1 LY6E IFNGR2 NOD2 ATP2B1 TLR1 RNF144B PTAFR LYN BEST1 KCNJ2 PROK2 P2RX4 MEFV AHR RHOG FFAR2 IL4R KLF6 C5AR1 SEMA4D LCP2 NAMPT NLRP3 TNFRSF1B TAPBP CYBB IRF7 CD48 BTG2 PIK3R5 CD14 GNAI3 BST2 PTGER4 CSF3R IL18R1 TNFSF10	significant
HALLMARK_IL6_JAK_STAT3_SIGNALING	4.74997845723969e-05	0.00029687365357748	0.557332238758646	0.478589420380952	2.06164640099924	56	IL1R2 IL13RA1 IRF1 TLR2 IFNAR1 IRF9 CSF2RB STAT3 IFNGR2 IFNGR1 CCR1 GRB2 MYD88 CSF2RA IL10RB IL17RA CBL IL4R TNFRSF1A CD44 TNFRSF1B LTBR IL2RG PIK3R5 CD14 TYK2 CSF3R IL18R1 HMOX1 JUN	significant
HALLMARK_TNFA_SIGNALING_VIA_NFKB	9.60030069402055e-06	9.10940475593607e-05	0.593325476396405	0.38282909647288	1.92098360831901	127	IRF1 ABCA1 MCL1 MXD1 LITAF DUSP1 TLR2 FOS IFNGR2 CFLAR ATP2B1 DENND5A KDM6B SAT1 KLF6 B4GALT5 SLC16A6 NFIL3 SLC2A3 IER2 IFIT2 CD44 MARCKS JUNB NAMPT ZFP36 SERPINB8 BTG1 KLF9 BCL2A1 ID2 KLF4 IRS2 BTG2 CEBPB TAP1 ETS2 BCL6 FOSL2 PTGER4 TNFAIP2 RNF19B SOD2 JUN BHLHE40 PPP1R15A RIPK2 PTGS2 PER1 KLF10 NFKB1 PDE4B B4GALT1 DDX58 DUSP2 IER5 RELA TNFAIP3 TNFAIP8 NFKBIA G0S2 NINJ1 TRIB1 MAP3K8 CD69 PLAUR KLF2 FOSB CCNL1 PFKFB3	significant
HALLMARK_HYPOXIA	2.15812638795993e-05	0.000154151884854281	0.575610261071129	0.393888066159776	1.90729345742805	106	RRAGD HK2 P4HA1 DUSP1 FOS TPI1 PGK1 NDRG1 CCNG2 GBE1 ENO1 LDHA KLF7 IDS RBPJ PGM2 ISG20 PLAC8 GPI GLRX SLC6A6 KLF6 GRHPR NFIL3 GAA SLC2A3 FBP1 S100A4 CDKN1B ZFP36 BTG1 PAM NR3C1 TGFBI ANXA2 GYS1 IRS2 ALDOA PFKL CXCR4 JMJD6 FOSL2 ETS1 GAPDH HMOX1 MIF JUN BHLHE40 DDIT4 UGP2 PGM1 PPP1R15A	significant
HALLMARK_ALLOGRAFT_REJECTION	1.09312857071233e-05	9.10940475593607e-05	0.593325476396405	0.374379121564612	1.89146502765227	137	TLR2 IFNGR2 PTPRC IFNGR1 TLR1 LYN CCR1 WAS GBP2 TLR6 IGSF6 HLA-A FGR ST8SIA4 IFNAR2 IL4R SPI1 LY75 PSMB10 LCP2 CFP SRGN AKT1 HCLS1 NLRP3 CAPG TAPBP CTSS PTPN6 IL2RG IRF7 CD86 UBE2D1 CD1D BCL10 TAP1 HLA-DRA GALNT1 TAP2 ETS1 HLA-DMB CD74 NPM1 ITGB2 HLA-E FCGR2B PRKCB RIPK2 RPL9 RPS9 CD3D CSK ELF4 BCAT1 IRF8 ITGAL HLA-DMA RPS19 DEGS1 CD7 FAS EIF3D	significant
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.00403336877324173	0.0155129568201605	0.407017918923954	0.547780227173353	1.87610953129975	21	ADAM17 NUMB FRAT1 RBPJ NCOR2 NCSTN NOTCH1 MAML1	significant
HALLMARK_GLYCOLYSIS	0.000461550963637479	0.00209795892562491	0.49849310876659	0.351932522276045	1.69627553131585	97	IL13RA1 RRAGD HK2 GUSB P4HA1 ME2 DSC2 TPI1 PGK1 ENO1 LDHA SLC16A3 CHPF2 PGM2 ISG20 PGAM1 GLRX CD44 PAM PGLS TGFBI GYS1 PYGL IRS2 ALDOA CXCR4 NT5E PSMC4 PLOD1 HS2ST1 QSOX1 MIF PHKA2 RBCK1 DDIT4 UGP2	significant
HALLMARK_COMPLEMENT	0.000344703386217644	0.00191501881232024	0.49849310876659	0.331689486757126	1.65964467089739	123	CDK5R1 IRF1 F5 PSEN1 LAMP2 CD46 RAF1 CASP4 GCA MSRB1 PLSCR1 TIMP2 S100A9 PPP4C GNB4 LYN WAS CR1 GRB2 CTSH ITGAM RHOG SERPINA1 CPQ LAP3 S100A12 GNAI2 LCP2 HSPA1A PRCP ANXA5 CTSS IRF7 DUSP6 PIK3R5 GNAI3 CEBPB	significant
